Description,Index,Scenario,Perspective,Ambiguity
There is a circle of blocks. Grab the one at the top that is farthest ahead of you.,1531,Configuration_8_v2.png,ambiguous,2
Pick up the green block that's touching the yellow block furthest away from you.,1061,Configuration_8_v2.png,neither,1
"Looking at the table, you are to pick up the green block that is closest to your end of the table.",534,Configuration_9_v1.png,neither,1
Pick up the green block farthest away from you.,1475,Configuration_9_v1.png,neither,1
Pick up the farthest green block from you.,882,Configuration_9_v1.png,neither,1
Grab the green box closest to me on the table.,432,Configuration_9_v1.png,neither,1
the green block that is the furthest from you,1578,Configuration_9_v1.png,neither,1
Pick up the green block that is directly in front of you and has a yellow block to its left.,507,Configuration_9_v2.png,agent,1
Pick up the closest block to you.,917,Configuration_9_v2.png,neither,1
Pick up the green block that is closest to you.,857,Configuration_9_v2.png,neither,1
Pick the green block that is closest to you,349,Configuration_9_v2.png,neither,1
the green block closest to you,1129,Configuration_9_v2.png,neither,1
Pick up the orange block in the upper left corner.,494,Configuration_10_v1.png,ambiguous,2
Pick up the furthest away orange block.,1186,Configuration_10_v1.png,ambiguous,2
Pick up the orange block furthest to your left.,678,Configuration_10_v1.png,agent,1
From your perspective i would pick the orange one that is far up top and far right.,82,Configuration_10_v1.png,agent,1
Locate and pick up the orange block located of the northwest corner of the table,1336,Configuration_10_v1.png,ambiguous,2
Pick up the orange block nearest to you.,659,Configuration_10_v2.png,neither,1
Pick up the orange block that is closest to you.,979,Configuration_10_v2.png,neither,1
Grab the orange block that is closest to you.,1257,Configuration_10_v2.png,neither,1
Pick up the 1st orange block on the right,397,Configuration_10_v2.png,ambiguous,2
Pick up the orange block that is closest to you.,1239,Configuration_10_v2.png,neither,1
Pick up the yellow block surrounded by green blocks.,268,Configuration_11_v1.png,neither,2
I would tell the robot to pick up the yellow block that is directly in front of the blue block on the right hand side.,46,Configuration_11_v1.png,ambiguous,2
Pick up the yellow block that is between a grouping of three green blocks and a blue block.,602,Configuration_11_v1.png,neither,1
Pick up the yellow block that is in between the green and blue blocks.,1272,Configuration_11_v1.png,neither,2
Pick up the yellow block that is sandwiched between two green blocks and one blue block.,42,Configuration_11_v1.png,neither,1
blue block just right in front of you,3,Configuration_11_v2.png,neither,1
Please look at the blocks on the table and pick up the blue block that is furthest to the left in the arrangement.,539,Configuration_11_v2.png,ambiguous,2
You will reach to your right and there will be a grouping of three blocks.  you will want to grab the blue one in the middle of the grouping,829,Configuration_11_v2.png,agent,1
Pick up the blue block farthest on your right.,441,Configuration_11_v2.png,agent,1
Pick up the blue block closest to you.,1217,Configuration_11_v2.png,neither,1
"Pick up the blue block that is directly above an orange block, and to the left of a yellow and blue block.",510,Configuration_12_v1.png,ambiguous,3
Pick up the left blue block that is in the pair of blue blocks farthest from you.,1483,Configuration_12_v1.png,ambiguous,2
"Raise your left hand in the air, slide it to your right, towards the center of your chest area reach directly across the table, and touch the blue block that is towards the end of the other side of the table, just in front  of and beside the orange and green block respectively.",586,Configuration_12_v1.png,agent,1
Pick up the blue block that is the second farthest from you.,916,Configuration_12_v1.png,neither,1
"There is a bunch of blocks together. At the top, grab the one immediately to the left of the utmost top.",1534,Configuration_12_v1.png,ambiguous,2
From your perspective i would pick the farthest blue cube. The one that reaches the farthest.,79,Configuration_12_v2.png,agent,1
Grab the blue block that is the farthest away from you.,1157,Configuration_12_v2.png,neither,1
Pick up the blue block that is closest to me.,323,Configuration_12_v2.png,neither,1
Look for a blue block. Pick up the blue block that is furthest away from you.,1029,Configuration_12_v2.png,neither,1
Pick up the blue block that is furthest away from you.,1015,Configuration_12_v2.png,neither,1
please pick up the orange block on top of the 2 bottom ones,468,Configuration_13_v1.png,ambiguous,2
grab the orange block closest to you.,390,Configuration_13_v1.png,neither,1
Pick up the block below last one on the right side,996,Configuration_13_v1.png,ambiguous,3
Pick the orange block that is closest to you,340,Configuration_13_v1.png,neither,1
Pick up the middle orange block.,1250,Configuration_13_v1.png,neither,1
"Pick up the yellow block, in the middle touching the green block on the left side.",1399,Configuration_13_v2.png,ambiguous,1
Lift your left hand and put it over the table. i will guide you as to what direction and when to pick up an object. it will be the 3rd block in on your left,1405,Configuration_13_v2.png,agent,2
"Pick up the yellow block closest to you, that is next to a green block.",965,Configuration_13_v2.png,neither,1
the yellow block that is flush with a green block,1131,Configuration_13_v2.png,neither,1
"On your left side, pick up the yellow block that is 2 blocks behind the blue block.",489,Configuration_13_v2.png,agent,1
Pick up the blue block furthest to your right.,596,Configuration_14_v1.png,agent,1
Pick up the right-most blue block.,636,Configuration_14_v1.png,ambuguous,2
pick up the blue cube furthest to your right,562,Configuration_14_v1.png,agnet,1
From your perspective pick the blue block that is farthest right.,74,Configuration_14_v1.png,agent,1
pick up the far right blue block,1371,Configuration_14_v1.png,ambiguous,2
Pick up the blue block just past the green block closest to you.,305,Configuration_14_v2.png,ambiguous,2
Pick up the blue block that is right behind the green block closest to you,725,Configuration_14_v2.png,ambiguous,1
grab the second closest blue block from you,419,Configuration_14_v2.png,neither,1
Pick up the Blue Block that is directly in front of a green block.,311,Configuration_14_v2.png,ambiguous,1
"Pick up the blue block that is above a green block, but below a blue block in the center of the table.",513,Configuration_14_v2.png,ambiguous,1
pick up the yellow block,1363,Configuration_1_v1.png,neither,1
Please pick up the yellow block,1387,Configuration_1_v1.png,neither,1
grab the yellow block.,1438,Configuration_1_v1.png,neither,1
I would ask them to lift the block that's farthest to their right.,1460,Configuration_1_v1.png,neither,2
Pick up the block on your left side thats closer to me but not all the way in the back.,1503,Configuration_1_v1.png,agent,2
"To the right of you, grab the block at the utmost top to the right.",1537,Configuration_1_v1.png,neither,1
the yellow block,1575,Configuration_1_v1.png,neither,1
Pick up the yellow  block.,32,Configuration_1_v1.png,neither,1
pick up the only yellow block,108,Configuration_1_v1.png,neither,1
Please pick up the only yellow block on the table.,200,Configuration_1_v1.png,neither,1
Pick up the yellow block.,504,Configuration_1_v1.png,neither,1
Pick up the yellow block,728,Configuration_1_v1.png,neither,1
pick up the yellow block,750,Configuration_1_v1.png,neither,1
you want the lone yellow one on the outside right of the pile.,840,Configuration_1_v1.png,ambiguous,1
Pick up the only yellow block that is on the table.,988,Configuration_1_v1.png,neither,1
"Get up, walk around to my side of the table, and pick up the one yellow block on the table.",1046,Configuration_1_v1.png,neither,1
Pick up the yellow block.,1052,Configuration_1_v1.png,neither,1
Pick up the yellow block on the table.,1072,Configuration_1_v1.png,neither,1
Grab the yellow block.,1160,Configuration_1_v1.png,neither,1
the only yellow block on the table,1164,Configuration_1_v1.png,neither,1
Grab the only yellow block.,1254,Configuration_1_v1.png,neither,1
Pick up the only yellow block on the table.,1417,Configuration_1_v1.png,neither,1
Pick up the yellow block.,128,Configuration_1_v1.png,neither,1
Pick up the only yellow block on the table.,508,Configuration_1_v1.png,neither,1
Pick up the yellow block.,1310,Configuration_1_v1.png,neither,1
pick up the yellow block,1560,Configuration_1_v1.png,neither,1
Narrow search to only yellow blocks. Find the only yellow block in the pile. Pick it up.,788,Configuration_1_v1.png,neither,1
pick up the only yellow block on the table,1356,Configuration_1_v1.png,neither,1
Pick up the yellow box to your right.,1491,Configuration_1_v1.png,agent,1
Pick up the yellow block.,254,Configuration_1_v1.png,neither,1
Get the yellow block.,246,Configuration_1_v1.png,neither,1
Pick up the yellow block.,740,Configuration_1_v1.png,neither,1
Pick up the yellow block.,1377,Configuration_1_v1.png,neither,1
Pick up the yellow block.,848,Configuration_1_v1.png,neither,1
There is a block in the back of the pile. Lift your right hand and put it over the table. i will guide you as to what direction and when to pick up the block. the block is the last one in the back on the right side,1413,Configuration_1_v1.png,agent,2
Pick up the only yellow block.,1214,Configuration_1_v1.png,neither,1
pick up the yellow block,906,Configuration_1_v1.png,neither,1
Pick up the only yellow block.,86,Configuration_1_v1.png,neither,1
Look for a yellow block. Pick up the only yellow block.,1024,Configuration_1_v1.png,neither,1
Pick up the yellow block.,1524,Configuration_1_v1.png,neither,1
Pick up the yellow block.,960,Configuration_1_v1.png,neither,1
Pick up the yellow block.,1323,Configuration_1_v1.png,neither,1
Pick the only yellow cube.,1451,Configuration_1_v1.png,neither,1
Pick up the rightmost block,272,Configuration_1_v1.png,ambiguous,2
Pick up the yellow block.,972,Configuration_1_v1.png,neither,1
the green block closest to you,1125,Configuration_1_v2.png,neither,1
From your perspective you should pick the closest green cube to you.,71,Configuration_1_v2.png,agent,1
"pick up your left hand, place it on the table,  slide it to the right and touch the first green block you see.",577,Configuration_1_v2.png,agent,1
"Pick up the first green block that you see when you look directly forward, this block is also the closest green block near you.",363,Configuration_1_v2.png,agent,1
Please pick up the green block that located on your right and is positioned closest to you.,57,Configuration_1_v2.png,agent,1
Pick up the green block that is the closest to you,285,Configuration_1_v2.png,neither,1
Pick up the green block that is closest to you. It is also separated from the other a bit.,1277,Configuration_1_v2.png,neither,1
pick the lowest green block,1197,Configuration_1_v2.png,ambiguous,3
Pick up the right most green block,1103,Configuration_1_v2.png,ambiguous,3
pick up right arm and head straight and pick up first block.,169,Configuration_1_v2.png,ambiguous,2
Pick up the green block nearest to you.,663,Configuration_1_v2.png,neither,1
Pick up the green block that is by itself.,27,Configuration_1_v2.png,neither,2
grab your the green block closest to you.,383,Configuration_1_v2.png,neither,1
please pick up the green block closest to me,469,Configuration_1_v2.png,neither,2
Pick up the green block directly in front of you.,773,Configuration_1_v2.png,neither,1
pick up the green cube closest to you,219,Configuration_1_v2.png,neither,1
Pickup the green block that is closest to you.,1223,Configuration_1_v2.png,neither,1
Pick up the green block that is alone and closest to you.,867,Configuration_1_v2.png,neither,1
Pick up the green block closest to me,701,Configuration_1_v2.png,neither,2
pick up the green block closest to you on your right.,803,Configuration_1_v2.png,agent,1
Pick up the green block on your right side that is the closest to you.,485,Configuration_1_v2.png,agent,1
Pick up the green block closest to you on your right hand side.,1295,Configuration_1_v2.png,agent,1
Pick up the green block closest to you.,763,Configuration_1_v2.png,neither,1
Pick up the green block that is closest in front of you and on your right side.,451,Configuration_1_v2.png,agent,1
"Pick up the green block that is closest to you, on your right.",895,Configuration_1_v2.png,agent,1
"I would tell the robot to pick up the green block that is in front of me, standing on its own",47,Configuration_1_v2.png,neither,2
Pick up the nearest green block to you,1107,Configuration_1_v2.png,neither,1
Pick up the green block that is nearest to you.,1243,Configuration_1_v2.png,neither,1
Please pick up the green block that is closest to you.,625,Configuration_1_v2.png,neither,1
Pick up the closest block to you.  It is a green block.,871,Configuration_1_v2.png,neither,1
Pick up the green block closest to you,657,Configuration_1_v2.png,neither,1
Pick up the green block closest to you.,307,Configuration_1_v2.png,neither,1
Grab the furthest most top green block.,161,Configuration_1_v2.png,ambiguous,3
Pick up the closest green block.,1179,Configuration_1_v2.png,ambiguous,3
There is a green block that is closest to you. Pick it up.,1087,Configuration_1_v2.png,neither,1
Pick up the green block that is closest to you.,1141,Configuration_1_v2.png,neither,1
Pick up the green block that is closest to you.,949,Configuration_1_v2.png,neither,11
green block at by itself and right in front of you,13,Configuration_1_v2.png,neither,1
Pick up the green block closest to you.,235,Configuration_1_v2.png,neither,1
"Pick up the block that is closest to you - it also happens to be green, to confirm we are looking at the same block.",603,Configuration_1_v2.png,neither,1
Pick up the closest block to you.,919,Configuration_1_v2.png,neither,2
Pick up the green block that is closest to you.,115,Configuration_1_v2.png,neither,1
"Pick up the green block that is closest to you, and separate from the other blocks.",1269,Configuration_1_v2.png,neither,1
Take the green block that is closest to you.,819,Configuration_1_v2.png,neither,1
pick up the green cube closest to you,565,Configuration_1_v2.png,neither,1
From your perspective i would choose the second blue block to the left.,72,Configuration_2_v1.png,agent,1
Pick up the blue block directly to the left of the orange block at the bottom left side of the table.,100,Configuration_2_v1.png,ambiguous,1
pick up left hand and pick up 2nd block to the left.,172,Configuration_2_v1.png,ambiguous,2
Please pick up the blue block that is the second furthest to your left hand side.,198,Configuration_2_v1.png,agent,3
pick up the blue cube which is closest to you but also next to an orange cube and another blue cube.,224,Configuration_2_v1.png,neither,2
"Of the three blue blocks that are towards your left, pick the one in the middle",292,Configuration_2_v1.png,agent,1
There are three blue blocks close together to your left.  Pick the middle block from that group.,316,Configuration_2_v1.png,agent,1
"out of the 3 blue blocks to your left, choose the one in the middle. It's also the one that is closest to the orange box that is near you.",336,Configuration_2_v1.png,agent,1
"This block is the second purple block that you will see, as you look from your left in- if you were to look from left to right.",356,Configuration_2_v1.png,agent,1
"There is a cluster of 3 blue blocks to your left. It is near an orange block. Grab the one in the center, it should be the closest one to you in that group.",434,Configuration_2_v1.png,agent,1
Pick up the blue block between 2 other blue blocks on the left.,644,Configuration_2_v1.png,ambiguous,1
pick up the blue block that is second to the farthest left.,712,Configuration_2_v1.png,ambiguous,2
In front of your left side are two blue blocks beside an orange one. Pick up the the blue block in between the orange one and the blue one.,774,Configuration_2_v1.png,agent,2
Pick up the center blue block on your left.,808,Configuration_2_v1.png,agent,1
Pick up the blue block in the middle of a group of three closely clustered blue blocks; between and orange and a yellow block.,1016,Configuration_2_v1.png,neither,1
"Pick up the blue block on your left that's in the middle of an orange, yellow and two blue blocks.",1054,Configuration_2_v1.png,agent,1
the second blue block from my right,1134,Configuration_2_v1.png,user,1
Grab the central blue block in the group of three blue blocks on your left.,1158,Configuration_2_v1.png,agent,1
pick up the blue block right next to the orange block on your left,1168,Configuration_2_v1.png,agent,2
pick the second block from the left,1194,Configuration_2_v1.png,ambiguous,2
Pickup the blue block that is second farthest to the left.,1224,Configuration_2_v1.png,ambiguous,2
Raise your left hand and put it on the edge of the table right in front of you.  Hold your hand sideways and slide it forward until you feel 3 blocks.  Grab the middle one.,1248,Configuration_2_v1.png,agent,3
There are three blue boxes in a tight cluster on your left side. Pick the one in the middle.,1278,Configuration_2_v1.png,agent,1
Pick up the first blue block to the left of the brown block on your left.,1316,Configuration_2_v1.png,agent,1
I would tell the robot to pick up the blue block on the far right that is closet to me at the top of the table. It is the one in the middle,56,Configuration_2_v1.png,ambiguous,2
Pick up the blue block that is closest to the orange block that is closest to you.,920,Configuration_2_v1.png,neither,1
Pick up the blue block that is in front of the orange block.,742,Configuration_2_v1.png,ambiguous,2
"On your left side, pick up the blue block that is directly to the left of the orange block.",930,Configuration_2_v1.png,agent,1
Pick up the second block from the left.,240,Configuration_2_v1.png,ambiguous,2
There are three blue blocks on your left side - pick up the middle of the three.,484,Configuration_2_v1.png,agent,1
Pick up the blue block that is slightly to the side of the closest orange block to you.,696,Configuration_2_v1.png,neither,2
Pick up the blue block second from your left.,116,Configuration_2_v1.png,agent,1
"Pick up the blue block on your left side that is in the middle of the two blue blocks, orange block and yellow block.",452,Configuration_2_v1.png,agent,1
There are three blue blocks close to you on the left side of the table - pick up the one that's directly between two other ones.,608,Configuration_2_v1.png,ambiguous,1
"Pick up the second blue block from the left, which is also directly to the left of the orange block.",518,Configuration_2_v1.png,ambiguous,1
pick up the second blue block from the left,908,Configuration_2_v1.png,ambiguous,2
Take the blue block that touches the orange block.,822,Configuration_2_v1.png,neither,1
blue block on the right that is right below an orange block.,168,Configuration_2_v1.png,ambiguous,3
Look for a blue block. Pick up the blue block that is the second furthest to the right.,1032,Configuration_2_v1.png,ambiguous,2
Pick up the blue block that is the to the right of the leftmost blue block from your perspective.,1234,Configuration_2_v1.png,agent,1
Pick up the blue block that is second furthest from your left.,954,Configuration_2_v1.png,agent,1
"Look for the 3 blue blocks that are all close to each other. They form kind of an ""L"" shape. Pick up the block that is the corner of the ""L"".",942,Configuration_2_v1.png,ambiguous,4
"Pick up the blue block on your left, which is the second from the left nearest you.",372,Configuration_2_v1.png,agent,1
Pick up the blue block that is northwest to the nearest orange block from your view.,234,Configuration_2_v1.png,agent,1
Narrow search to only blue blocks. Look at the blue blocks closest to the left edge of the table. Pick up the blue block that is second-closest to the left edge of the table.,796,Configuration_2_v1.png,ambiguous,2
Locate the two blue blocks closest to the orange block found on the southern side of the table. Next pick up the blue block located to the north of that orange block.,1340,Configuration_2_v2.png,ambiguous,3
pick up the blue block that is to the lower left of the middle blue block,1366,Configuration_2_v2.png,ambiguous,3
"Pick up the third blue block from your left, start counting on the first blue block on the far left.",1397,Configuration_2_v2.png,agent,1
grab the blue block that is right in front of the orange block .,1437,Configuration_2_v2.png,ambiguous,3
I would ask them to pick the block slightly to their left.,1469,Configuration_2_v2.png,neither,3
Pick up the block on your right side thats in the second row.,1505,Configuration_2_v2.png,agent,2
"To your left, grab the closest box after the first",1539,Configuration_2_v2.png,agent,2
the third blue block from your left,1580,Configuration_2_v2.png,agent,1
Pick up the blue block at the top of that cluster to the left of you.,25,Configuration_2_v2.png,ambiguous,2
"Please pick up the blue block that is directly behind, not adjacent to, the orange block in the center-left of the table.  It is the blue block that it turned so that it mimics the shape of a diamond.",63,Configuration_2_v2.png,ambiguous,2
Grab the blue block that is third from the left.,411,Configuration_2_v2.png,ambiguous,2
Pick up the blue block that is third from the left.,497,Configuration_2_v2.png,ambiguous,2
Pick up the orange block very near by you.,523,Configuration_2_v2.png,neither,1
It is the block that is on the right side of the table. It is in the middle and cluttered with another block.,559,Configuration_2_v2.png,ambiguous,5
"Going form right to left, touch the third blue block on the table.",587,Configuration_2_v2.png,ambiguous,2
Pick up the blue block that is third from your left.,667,Configuration_2_v2.png,agent,1
"To your left, there's an orange next to three blue blocks. Pick up the first blue touching the orange.",685,Configuration_2_v2.png,agent,2
Pick up the third blue block from your left,715,Configuration_2_v2.png,agent,1
pick the third blue block in coming from your left,751,Configuration_2_v2.png,agent,1
The one you want is on the left hand side in a grouping of blue and orange ones.   it is the second blue one after the orange one,839,Configuration_2_v2.png,ambiguous,2
Pick up the blue block that is above the orange block that is nearest you.,863,Configuration_2_v2.png,neither,2
Pick up the blue block that is the third blue block over from the left of the three blue blocks that are clustered together on the left side.,989,Configuration_2_v2.png,ambiguous,1
Pick up the blue block that is third from the left.,1065,Configuration_2_v2.png,ambiguous,2
Pick the blue block that is right above the orange block,345,Configuration_2_v2.png,ambiguous,3
There are 3 blue blocks on the left side of the table.  Please pick up the blue block that is on the right side of this group.,629,Configuration_2_v2.png,ambiguous,2
"In the group of three grouped purple blocks on your left, pick the one closest to center.",967,Configuration_2_v2.png,agent,1
pick up the blue block that is just above the orange block on your immediate right,1354,Configuration_2_v2.png,agent,2
pick up the third blue block from your left,1555,Configuration_2_v2.png,agent,1
Pick up the blue block to your left that is immediately in front of an orange and a blue block.,137,Configuration_2_v2.png,agent,1
Pick up the 3rd blue block from your right.,1550,Configuration_2_v2.png,agent,1
Grab the 3rd blue block starting from the right side.,151,Configuration_2_v2.png,ambiguous,2
Pick up the third blue block from the left side,999,Configuration_2_v2.png,ambiguous,2
Pick up the 3rd blue block from the left,645,Configuration_2_v2.png,ambiguous,2
To your left are three blue blocks together. Pick up the rightmost blue block.,1091,Configuration_2_v2.png,agent,1
Pick up the blue block behind the middle one that's closest to you.,1526,Configuration_2_v2.png,ambiguous,2
Pick up the blue block that is behind the orange block closest to you.,881,Configuration_2_v2.png,ambiguous,2
pick up the 4th closest blue cube to you,567,Configuration_2_v2.png,neither,1
Pick up the blue block that is behind the orange block and next to the yellow block.,1273,Configuration_2_v2.png,ambiguous,2
Pick up the blue block that is together with the other blue block and is towards the inside.,1324,Configuration_2_v2.png,neither,2
Pick up the third blue block from your left.,1381,Configuration_2_v2.png,agent,1
blue block touching a blue and orange block,11,Configuration_2_v2.png,neither,2
There is a block in the towards the  front of the pile. Lift your left hand and put it over the table. i will guide you as to what direction and when to pick up the block.it is the second block in.,1414,Configuration_2_v2.png,ambiguous,3
Looking at the table you see an orange block that is closest to my end that is near the middle.  You are to pick up the blue block that is in front of it.,535,Configuration_2_v2.png,ambiguous,2
from your point of view grab the third blue block from the left side of the table,1139,Configuration_2_v2.png,agent,1
"There are two blue boxes behind and orange block on your left, pick up the blue box on the right.",1492,Configuration_2_v2.png,agent,1
Pick up the block closest to you.,1507,Configuration_3_v1.png,neither,2
Pick up the block closest to you on the right.,1527,Configuration_3_v1.png,neither,1
From your perspective i would pick the closest green cube to yourself.,84,Configuration_3_v1.png,agent,1
Please pick up the green block closest to you.,208,Configuration_3_v1.png,neither,1
pick up the green cube closest to you that's just behind the yellow cube.,220,Configuration_3_v1.png,ambiguous,1
Pick up the Green Block that is closest to you.,314,Configuration_3_v1.png,neither,1
Pick up the green block that is closer to you.,324,Configuration_3_v1.png,neither,1
grab the closest green block,412,Configuration_3_v1.png,ambiguous,2
please pick up the green block closest to me,474,Configuration_3_v1.png,neither,1
Pick up the green block closest to you.,632,Configuration_3_v1.png,neither,1
Pick up the green block right in front of you,716,Configuration_3_v1.png,neither,1
pick up the first green block in front of you,744,Configuration_3_v1.png,neither,1
Pick up the closest green block,806,Configuration_3_v1.png,ambiguous,2
"Pick up the green block that is the closet to you, right in front of you.",858,Configuration_3_v1.png,neither,1
Reach out with your right arm and grab the green block that's closest to you.,1048,Configuration_3_v1.png,agent,1
Pick up the closest green block.,1064,Configuration_3_v1.png,ambiguous,2
Pick up the green block directly in front of you.,1070,Configuration_3_v1.png,neither,1
Pickup the green block that is closest to you.,1230,Configuration_3_v1.png,neither,1
